86,-41,-19,86,0.268582,0.513716,0.0,28.011359,28.011359
94,-39,-20,94,15.308895,10.171164,4.963855,148.534924,148.534924
100,-38,-20,100,19.255294,10.730913,7.061195,150.479318,150.479318
126,-32,0,126,16.806672,11.84313,8.697298,149.468976,149.468976
0,-64,8,0,22.0,11.714314,8.637468,161.283403,161.283403
1,-64,19,1,14.252502,11.729035,6.713099,185.383493,185.383493
7,-62,35,7,7.055075,3.164404,-8.253031,34.483677,34.483677
5,-63,29,5,10.123368,8.879677,-0.0,77.730495,77.730495
4,-63,21,4,15.099512,10.87167,7.767083,161.092479,161.092479
3,-63,20,3,14.929599,12.32684,8.647173,175.65084,175.65084
6,-62,15,6,10.038458,11.796857,6.421133,168.327706,168.327706
2,-63,13,2,15.20922,11.347229,8.601702,167.90702,167.90702
10,-61,10,10,14.980478,3.857733,-4.412545,40.53005,40.53005
13,-60,23,13,21.715908,14.138502,8.733333,161.685075,161.685075
11,-61,33,11,16.027535,12.727572,8.733333,148.439989,148.439989
16,-59,35,16,16.933462,11.428227,8.548801,164.363754,164.363754
19,-58,7,19,5.608355,3.192182,-8.569566,53.154885,53.154885
26,-55,31,26,13.588319,11.103554,5.684711,155.506026,155.506026
25,-55,10,25,4.892337,2.051519,0.0,49.942871,49.942871
30,-54,9,30,15.87411,11.063674,8.724196,165.301013,165.301013
29,-54,7,29,19.75749,12.853541,8.733333,154.86152,154.86152
36,-52,3,36,12.899556,8.475861,2.117775,70.094678,70.094678
57,-48,9,57,8.519213,2.91331,-5.444876,48.00486,48.00486
56,-48,7,56,4.116049,1.974266,0.0,45.92308,45.92308
66,-46,5,66,16.341896,10.369457,5.519152,151.341848,151.341848
73,-45,8,73,11.591198,8.550855,-0.0,61.036955,61.036955
